article_uuid,SDG ID
896c5a53-cca4-4e26-a852-0fc8c0744cdc,17
896c5a53-cca4-4e26-a852-0fc8c0744cdc,10
b69e66ba-ad49-4d31-b976-d83e50208db9,17
5c45d577-53d0-4b78-ba73-464f02a92a7d,4
5c45d577-53d0-4b78-ba73-464f02a92a7d,17
5c45d577-53d0-4b78-ba73-464f02a92a7d,10
afabef33-59a0-47a4-999b-5f93127af651,4
afabef33-59a0-47a4-999b-5f93127af651,16
afabef33-59a0-47a4-999b-5f93127af651,17
05dcd3cb-3e76-45f7-9fc7-a3507ce71949,10
fef10d49-fa99-4d0f-ad4e-67756e7798d4,10
fef10d49-fa99-4d0f-ad4e-67756e7798d4,5
fef10d49-fa99-4d0f-ad4e-67756e7798d4,16
a54c1555-9fed-4a17-a9e9-7232943763a2,11
a54c1555-9fed-4a17-a9e9-7232943763a2,8
a54c1555-9fed-4a17-a9e9-7232943763a2,10
5ce43b4b-225e-4722-b5c8-8afce884d717,4
98cff749-95eb-4e99-9529-70fafeacf019,17
ccf2cb25-193b-48df-8ddf-287c0e933e12,17
ce2c6f3c-b075-4145-8540-1316d59497f2,4
ce2c6f3c-b075-4145-8540-1316d59497f2,16
182d4015-d156-40fc-beb0-1e8288d056e6,17
182d4015-d156-40fc-beb0-1e8288d056e6,8
182d4015-d156-40fc-beb0-1e8288d056e6,10
25b48a05-6021-431f-a480-6ddd9d0ed2bf,1
25b48a05-6021-431f-a480-6ddd9d0ed2bf,8
25b48a05-6021-431f-a480-6ddd9d0ed2bf,10
e1321788-433c-4476-992e-0619f2a59006,17
9a232fff-33ad-4b65-976b-d24350a26fe8,17
31a3ac0c-5c7c-4dad-922f-d60d6d69a836,17
76df1dde-ec05-4c5c-a09d-7d0a0a93194c,4
76df1dde-ec05-4c5c-a09d-7d0a0a93194c,17
5e4b9f59-dd63-4332-a746-ef7429e1d4f8,4
5e4b9f59-dd63-4332-a746-ef7429e1d4f8,17
c5077aed-596c-4492-aeef-b333797b9310,17
c1c86cf1-67f4-4261-be84-27b7ec5ac177,3
c1c86cf1-67f4-4261-be84-27b7ec5ac177,17
3e88f0da-3dbb-4d84-9a5d-a5fd042d89c6,3
3e88f0da-3dbb-4d84-9a5d-a5fd042d89c6,17
e9ec8d90-8d9b-44c3-8c8a-d8de271a6573,4
e9ec8d90-8d9b-44c3-8c8a-d8de271a6573,16
f7396780-e423-4789-a378-4db579f1a26f,17
2ffaac4e-6dad-4bf4-b8ca-3dee36ea8215,3
2ffaac4e-6dad-4bf4-b8ca-3dee36ea8215,5
2ffaac4e-6dad-4bf4-b8ca-3dee36ea8215,4
76be4c79-dec9-4dc3-9eaa-6b2b0de37ac3,17
9e75d42f-214f-48bc-a948-e0ec495231ba,17
9e75d42f-214f-48bc-a948-e0ec495231ba,10
9e75d42f-214f-48bc-a948-e0ec495231ba,3
ec557192-b6a3-4f46-9bbe-be8bce20b06d,16
ec557192-b6a3-4f46-9bbe-be8bce20b06d,17
424c44d7-1ade-43e1-bf98-c5f597e70ff6,17
424c44d7-1ade-43e1-bf98-c5f597e70ff6,9
a5dbc92c-f21e-4a26-9978-0ba0e9ac8877,17
a5dbc92c-f21e-4a26-9978-0ba0e9ac8877,10
a5dbc92c-f21e-4a26-9978-0ba0e9ac8877,16
d53de793-cff3-465b-a7d6-33fc286bf29a,17
d53de793-cff3-465b-a7d6-33fc286bf29a,8
5e6ed9f2-4657-4c74-a95c-5037da3b77da,17
a05ff3cd-bbc5-4794-a700-a5cdc5612fa9,17
a05ff3cd-bbc5-4794-a700-a5cdc5612fa9,16
a05ff3cd-bbc5-4794-a700-a5cdc5612fa9,10
2c41a77b-52c3-4804-88a6-9b092efd8554,4
2c41a77b-52c3-4804-88a6-9b092efd8554,17
2c41a77b-52c3-4804-88a6-9b092efd8554,8
07887fdd-163a-47a8-b007-bbf0a7002d0e,17
11f653f8-e8a0-4efb-aa71-e75c734da12f,17
ec28e3ea-a446-4572-b905-e83c5a029f63,17
20d8bd1f-aa01-4dbc-bf03-fa0f5b3265d8,17
4673aedb-f00b-457b-8806-c3bb05a44dfa,17
4673aedb-f00b-457b-8806-c3bb05a44dfa,10
4673aedb-f00b-457b-8806-c3bb05a44dfa,1
6f7b64d7-c6a4-4fad-80be-27184892167e,17
6f7b64d7-c6a4-4fad-80be-27184892167e,11
a05832bd-c9b3-457b-a75d-9a37ee18e249,17
d3d5c287-8f99-46f6-83c9-88068d72c9af,16
d3d5c287-8f99-46f6-83c9-88068d72c9af,17
b3f4e373-ad57-40a5-a4b4-7190d23e6bc1,16
b3f4e373-ad57-40a5-a4b4-7190d23e6bc1,17
ca1c95b0-25e0-40a6-8f12-747925ceebb4,17
d81d6d39-6988-4f54-b13e-791e15d6fa59,17
b6ff417c-a341-46f9-b2cb-e744770ffe5b,5
b6ff417c-a341-46f9-b2cb-e744770ffe5b,17
b6ff417c-a341-46f9-b2cb-e744770ffe5b,10
f93ee342-ee1c-4c54-883a-51935afabaec,17
c13d0ad4-32d2-4c37-9627-91887ed8503e,4
62a58019-6b34-42d4-bbbb-79721c7b436f,10
62a58019-6b34-42d4-bbbb-79721c7b436f,4
62a58019-6b34-42d4-bbbb-79721c7b436f,5
2237afaf-5687-43fa-bb63-24e2103de6ce,10
2237afaf-5687-43fa-bb63-24e2103de6ce,5
4c04f18e-8fb4-488c-b104-901b745f9331,5
4c04f18e-8fb4-488c-b104-901b745f9331,10
f1746cef-7385-43ef-88de-1c74ec8e859e,8
f1746cef-7385-43ef-88de-1c74ec8e859e,10
11dc1fc7-c44e-4f40-ab7a-c42fab2fc8bc,16
11dc1fc7-c44e-4f40-ab7a-c42fab2fc8bc,17
d6cf077b-7fcb-4f1f-89b3-1ef95a4df2a7,8
d6cf077b-7fcb-4f1f-89b3-1ef95a4df2a7,1
d6cf077b-7fcb-4f1f-89b3-1ef95a4df2a7,10
6204f759-e518-4493-a301-12e8cc92619b,9
14f1a404-5266-424f-932f-36295f70f374,1
14f1a404-5266-424f-932f-36295f70f374,10
14f1a404-5266-424f-932f-36295f70f374,8
590dbb74-0b5a-436b-9fe4-09877bf37f67,8
590dbb74-0b5a-436b-9fe4-09877bf37f67,9
06818237-9ed7-42da-a3d6-0bfbc3fc3602,17
af33ef3b-133a-4ab2-ad9c-851007df06d2,8
af33ef3b-133a-4ab2-ad9c-851007df06d2,10
af33ef3b-133a-4ab2-ad9c-851007df06d2,9
f3405841-c91e-4419-902c-4dbd6598ab61,16
d5a7be9d-494c-4853-adec-6c1539ab2c2c,12
d5a7be9d-494c-4853-adec-6c1539ab2c2c,11
d5a7be9d-494c-4853-adec-6c1539ab2c2c,13
ce9a4bb9-d44e-40d8-a9d2-22ab019d6a13,13
